L,omega,Re(sigma),Im(sigma),delta_1,Stability
5.0,12030.303030303032,-18817.045591803708,-15796.129372652804,3.44e-05,Stable
5.0,12171.717171717173,-18837.15054880507,-15984.033850359296,3.44e-05,Stable
5.0,12313.131313131315,-18856.310425062773,-16167.418217278113,3.44e-05,Stable
5.0,12454.545454545456,-18873.329856174594,-16347.508026923702,3.44e-05,Stable
5.0,12595.959595959597,-18887.646288096992,-16525.655426915167,3.44e-05,Stable
5.0,12737.373737373739,-18899.23904138684,-16703.110848725097,3.44e-05,Stable
5.0,12878.78787878788,-18908.483666935663,-16880.872051185037,3.44e-05,Stable
5.0,13020.202020202021,-18915.98870245351,-17059.612061975757,3.44e-05,Stable
5.0,13161.616161616163,-18922.44441132395,-17239.67467906439,3.44e-05,Stable
5.0,13303.030303030304,-18928.502719158598,-17421.118844320332,3.44e-05,Stable
5.0,13444.444444444445,-18934.697078033943,-17603.79111737825,3.44e-05,Stable
5.0,13585.858585858587,-18941.402287009958,-17787.407397767507,3.44e-05,Stable
5.0,13727.272727272728,-18948.828298942528,-17971.629345093046,3.44e-05,Stable
5.0,13868.68686868687,-18957.03884543854,-18156.126135993207,3.44e-05,Stable
5.0,14010.10101010101,-18965.984890530013,-18340.617158982073,3.44e-05,Stable
5.0,14151.515151515152,-18975.543821127732,-18524.89530608706,3.44e-05,Stable
5.0,14292.929292929293,-18985.557209914175,-18708.833371860637,3.44e-05,Stable
5.0,14434.343434343435,-18995.86234124078,-18892.37769129131,3.44e-05,Stable
5.0,14575.757575757576,-19006.31500794326,-19075.533693093515,3.44e-05,Stable
5.0,14717.17171717172,-19016.803053441756,-19258.34776697605,3.44e-05,Stable
5.0,14858.58585858586,-19027.251579370364,-19440.88903121187,3.44e-05,Stable
5.0,15000.0,-19037.6216175005,-19623.233516158274,3.44e-05,Stable
6.0,1000.0,-55.39418031879428,-6767.357367204064,3.44e-06,Stable
6.0,1141.4141414141413,-85.93460874425999,-12916.916608660094,3.44e-06,Stable
6.0,1282.828282828283,-171.44067248311717,-21579.546122729033,3.44e-06,Stable
6.0,1424.2424242424242,-492.55583231892774,-37479.38096418671,3.44e-06,Stable
6.0,1565.6565656565658,-3169.210205329676,-88791.78836267233,3.44e-06,Stable
6.0,1707.0707070707072,-53741.16912244554,315537.4259953364,3.44e-06,Stable
6.0,1848.4848484848485,-2210.3391903475176,53529.312706560144,3.44e-06,Stable
6.0,1989.8989898989898,-864.247244226042,25789.83878403391,3.44e-06,Stable
6.0,2131.3131313131316,-536.9830608945459,14040.56509279849,3.44e-06,Stable
6.0,2272.727272727273,-415.98338489818417,6747.156878746334,3.44e-06,Stable
6.0,2414.1414141414143,-374.2599325006663,1127.4032215528382,3.44e-06,Stable
6.0,2555.5555555555557,-384.6729226501699,-3949.9938938888117,3.44e-06,Stable
6.0,2696.969696969697,-456.6490489449162,-9232.517382218895,3.44e-06,Stable
6.0,2838.3838383838383,-646.1081147496329,-15603.318105917308,3.44e-06,Stable
6.0,2979.7979797979797,-1157.0861070699532,-24835.593991973128,3.44e-06,Stable
6.0,3121.2121212121215,-3025.0525673792977,-42575.194816716416,3.44e-06,Stable
6.0,3262.626262626263,-20472.972537885948,-106179.96431344372,3.44e-06,Stable
6.0,3404.040404040404,-68679.99325050639,165376.95836985073,3.44e-06,Stable
6.0,3545.4545454545455,-6287.771486141635,45007.45228209427,3.44e-06,Stable
6.0,3686.8686868686873,-2522.5930309845307,21819.74083672312,3.44e-06,Stable
6.0,3828.2828282828286,-1542.66444879233,11107.459311947323,3.44e-06,Stable
6.0,3969.69696969697,-1176.1896426344977,4184.563711169588,3.44e-06,Stable
6.0,4111.111111111111,-1048.3331409094824,-1290.5266096578457,3.44e-06,Stable
6.0,4252.525252525253,-1073.3201012767197,-6339.486683268717,3.44e-06,Stable
6.0,4393.939393939394,-1271.7092133319538,-11691.180643760868,3.44e-06,Stable
6.0,4535.353535353535,-1794.3007491437631,-18270.475169599726,3.44e-06,Stable
6.0,4676.767676767677,-3208.7045162981626,-28013.452733251623,3.44e-06,Stable
6.0,4818.181818181818,-8513.531677218567,-47143.97863710284,3.44e-06,Stable
6.0,4959.595959595959,-60019.44956368624,-106766.11987844999,3.44e-06,Stable
6.0,5101.010101010102,-65493.5424391234,93591.80326575703,3.44e-06,Stable
6.0,5242.424242424243,-10886.453561116135,36652.046712916665,3.44e-06,Stable
6.0,5383.838383838384,-4718.674729639114,17804.475180966772,3.44e-06,Stable
6.0,5525.252525252526,-2952.0278341418207,8146.440373741824,3.44e-06,Stable
6.0,5666.666666666667,-2275.937114364169,1610.1355319900813,3.44e-06,Stable
6.0,5808.080808080808,-2047.1677194720621,-3706.165011319951,3.44e-06,Stable
6.0,5949.49494949495,-2115.604854038294,-8708.214856475364,3.44e-06,Stable
6.0,6090.909090909091,-2530.009170373979,-14093.76239243833,3.44e-06,Stable
6.0,6232.323232323232,-3600.741411965672,-20789.81130903164,3.44e-06,Stable
6.0,6373.737373737375,-6491.576600131376,-30708.06133319519,3.44e-06,Stable
6.0,6515.151515151516,-17210.187000586466,-49069.07178331561,3.44e-06,Stable
6.0,6656.565656565657,-88277.16739436201,-67395.39548533563,3.44e-06,Stable
6.0,6797.979797979799,-56550.72285578162,53147.164302235455,3.44e-06,Stable
6.0,6939.39393939394,-15019.069587704045,28090.89120680877,3.44e-06,Stable
6.0,7080.808080808081,-7182.743143895476,13588.79521878351,3.44e-06,Stable
6.0,7222.222222222223,-4665.3281244623,5091.263723072183,3.44e-06,Stable
6.0,7363.636363636364,-3672.4158469535796,-1000.6598135809272,3.44e-06,Stable
6.0,7505.050505050505,-3353.6634227534514,-6115.884793101877,3.44e-06,Stable
6.0,7646.464646464647,-3509.760417871981,-11021.421179780835,3.44e-06,Stable
6.0,7787.878787878788,-4240.4877365760485,-16351.155802298097,3.44e-06,Stable
6.0,7929.29292929293,-6071.212259873844,-22938.997887661444,3.44e-06,Stable
6.0,8070.707070707072,-10875.300333719877,-32252.362744532216,3.44e-06,Stable
6.0,8212.121212121212,-26850.923144512202,-45772.281741260114,3.44e-06,Stable
6.0,8353.535353535353,-77367.18986016531,-30290.166547718924,3.44e-06,Stable
6.0,8494.949494949495,-47221.46764489091,28940.355582804576,3.44e-06,Stable
6.0,8636.363636363636,-18052.808512250653,19498.17867998229,3.44e-06,Stable
6.0,8777.777777777777,-9648.198014758324,9114.156842919841,3.44e-06,Stable
6.0,8919.191919191919,-6570.881431678243,1900.7457520005046,3.44e-06,Stable
6.0,9060.60606060606,-5311.445368488802,-3660.0577846175556,3.44e-06,Stable
6.0,9202.020202020203,-4937.0912408183585,-8502.892182077414,3.44e-06,Stable
6.0,9343.434343434345,-5230.818577263975,-13223.50986748873,3.44e-06,Stable
6.0,9484.848484848486,-6359.454934902762,-18337.508759535107,3.44e-06,Stable
6.0,9626.262626262627,-9057.338501010861,-24435.430247619915,3.44e-06,Stable
6.0,9767.676767676769,-15632.648505048586,-32012.302631786093,3.44e-06,Stable
6.0,9909.09090909091,-32932.67358208939,-37824.41123051182,3.44e-06,Stable
6.0,10050.505050505051,-58264.41066040858,-15804.042348377872,3.44e-06,Stable
6.0,10191.919191919193,-39344.18380569061,13720.120352974156,3.44e-06,Stable
6.0,10333.333333333334,-19808.376983771454,11331.070343736088,3.44e-06,Stable
6.0,10474.747474747475,-11881.742339428325,4443.306056397914,3.44e-06,Stable
6.0,10616.161616161617,-8545.777519232766,-1423.4802867909366,3.44e-06,Stable
6.0,10757.575757575758,-7121.741371169393,-6359.87921361804,3.44e-06,Stable
6.0,10898.9898989899,-6743.171395460886,-10835.47370997542,3.44e-06,Stable
6.0,11040.40404040404,-7212.888421987089,-15244.732049479433,3.44e-06,Stable
6.0,11181.818181818182,-8755.594249413249,-19920.95050137877,3.44e-06,Stable
6.0,11323.232323232323,-12193.59215836106,-25067.328684624266,3.44e-06,Stable
6.0,11464.646464646465,-19561.987509231843,-30020.05594582946,3.44e-06,Stable
6.0,11606.060606060608,-33648.41663268969,-29527.842013337813,3.44e-06,Stable
6.0,11747.47474747475,-44282.64823399935,-12266.866133899906,3.44e-06,Stable
6.0,11888.88888888889,-33230.937259949606,3619.9261136224286,3.44e-06,Stable
6.0,12030.303030303032,-20493.333007182766,4002.1153354733815,3.44e-06,Stable
6.0,12171.717171717173,-13731.231135198448,-262.68620155280587,3.44e-06,Stable
6.0,12313.131313131315,-10468.53019766431,-4829.848124662474,3.44e-06,Stable
6.0,12454.545454545456,-9014.1059996401,-9067.997218158993,3.44e-06,Stable
6.0,12595.959595959597,-8686.875495804237,-13071.685885810135,3.44e-06,Stable
6.0,12737.373737373739,-9337.315431793008,-17022.0487828428,3.44e-06,Stable
6.0,12878.78787878788,-11202.465303425464,-21027.291014518265,3.44e-06,Stable
6.0,13020.202020202021,-14979.217470949548,-24877.935606247425,3.44e-06,Stable
6.0,13161.616161616163,-21795.28437215764,-27211.231914014086,3.44e-06,Stable
6.0,13303.030303030304,-31158.89441046408,-23922.597675173638,3.44e-06,Stable
6.0,13444.444444444445,-35184.84341532799,-12542.654836450378,3.44e-06,Stable
6.0,13585.858585858587,-28679.993683982164,-3474.772546864886,3.44e-06,Stable
6.0,13727.272727272728,-20486.217997486394,-2294.6441675784827,3.44e-06,Stable
6.0,13868.68686868687,-15150.11615801474,-4806.876283763671,3.44e-06,Stable
6.0,14010.10101010101,-12237.012957170145,-8226.708274458844,3.44e-06,Stable
6.0,14151.515151515152,-10887.03617913811,-11732.985950668754,3.44e-06,Stable
6.0,14292.929292929293,-10653.773535131319,-15171.962595702285,3.44e-06,Stable
6.0,14434.343434343435,-11441.036682322929,-18530.48090774374,3.44e-06,Stable
6.0,14575.757575757576,-13431.73847339023,-21704.835643452367,3.44e-06,Stable
6.0,14717.17171717172,-17022.06134061462,-24217.90888346576,3.44e-06,Stable
6.0,14858.58585858586,-22391.32536942244,-24730.172843684297,3.44e-06,Stable
6.0,15000.0,-27913.693598505324,-21157.084288552003,3.44e-06,Stable
6.0,1000.0,-110.78475948176664,-6767.017305184772,6.88e-06,Stable
6.0,1141.4141414141413,-171.8528168234697,-12915.788003810845,6.88e-06,Stable
6.0,1282.828282828283,-342.78928063934177,-21575.199923411266,6.88e-06,Stable
6.0,1424.2424242424242,-984.2684094332609,-37455.35767128043,6.88e-06,Stable
6.0,1565.6565656565658,-6305.534266219666,-88400.1825947877,6.88e-06,Stable
6.0,1707.0707070707072,-99872.29158315602,291978.2757934053,6.88e-06,Stable
6.0,1848.4848484848485,-4409.3872976282455,53338.801846505456,6.88e-06,Stable
6.0,1989.8989898989898,-1727.1200906527195,25750.012218351167,6.88e-06,Stable
6.0,2131.3131313131316,-1073.5382404763225,14025.151693044561,6.88e-06,Stable
6.0,2272.727272727273,-831.7310428865263,6740.309582799705,6.88e-06,Stable
6.0,2414.1414141414143,-748.2836273374517,1125.8443277664387,6.88e-06,Stable
6.0,2555.5555555555557,-768.9393455009686,-3945.609107657763,6.88e-06,Stable
6.0,2696.969696969697,-912.3100670487463,-9217.268285593933,6.88e-06,Stable
6.0,2838.3838383838383,-1289.113294965209,-15560.634823147207,6.88e-06,Stable
6.0,2979.7979797979797,-2300.718965402261,-24698.867916364034,6.88e-06,Stable
6.0,3121.2121212121215,-5943.819879595442,-41913.18550687147,6.88e-06,Stable
6.0,3262.626262626263,-36407.39298426184,-95344.98852757741,6.88e-06,Stable
6.0,3404.040404040404,-98849.8330872116,115660.97016427324,6.88e-06,Stable
6.0,3545.4545454545455,-12200.482517289483,43204.726309264086,6.88e-06,Stable
6.0,3686.8686868686873,-4995.111165274615,21419.213644900694,6.88e-06,Stable
6.0,3828.2828282828286,-3070.4460288801943,10957.889202385019,6.88e-06,Stable
6.0,3969.69696969697,-2345.1381678717466,4121.336786288563,6.88e-06,Stable
6.0,4111.111111111111,-2090.7397740198157,-1305.24656618383,6.88e-06,Stable
6.0,4252.525252525253,-2138.236294214891,-6306.803645086911,6.88e-06,Stable
6.0,4393.939393939394,-2525.3939828852926,-11580.766089324361,6.88e-06,Stable
6.0,4535.353535353535,-3536.1138948796656,-17975.41232642592,6.88e-06,Stable
6.0,4676.767676767677,-6199.966979497205,-27108.219218614948,6.88e-06,Stable
6.0,4818.181818181818,-15357.22293007216,-42985.324485191035,6.88e-06,Stable
6.0,4959.595959595959,-66700.14707857642,-62964.30353648961,6.88e-06,Stable
6.0,5101.010101010102,-71741.261433481,45998.510503978934,6.88e-06,Stable
6.0,5242.424242424243,-19445.947786740384,31128.813862200343,6.88e-06,Stable
6.0,5383.838383838384,-9054.565919150673,16349.998437397502,6.88e-06,Stable
6.0,5525.252525252526,-5784.148715810233,7584.615320563914,6.88e-06,Stable
6.0,5666.666666666667,-4493.405194417824,1376.2065708408072,6.88e-06,Stable
6.0,5808.080808080808,-4047.940093439997,-3752.527731640205,6.88e-06,Stable
6.0,5949.49494949495,-4168.4355386663465,-8573.716083126306,6.88e-06,Stable
6.0,6090.909090909091,-4930.91209236099,-13671.342458235573,6.88e-06,Stable
6.0,6232.323232323232,-6839.133585448451,-19708.82209674231,6.88e-06,Stable
6.0,6373.737373737375,-11555.062903439626,-27591.92860857835,6.88e-06,Stable
6.0,6515.151515151516,-24952.216963166724,-37151.37008749797,6.88e-06,Stable
6.0,6656.565656565657,-58311.80626747547,-28378.92081151816,6.88e-06,Stable
6.0,6797.979797979799,-50687.07630587289,16907.89010720057,6.88e-06,Stable
6.0,6939.39393939394,-23369.510946950268,18338.19020302401,6.88e-06,Stable
6.0,7080.808080808081,-12929.428064713577,10356.38222620888,6.88e-06,Stable
6.0,7222.222222222223,-8832.89782822161,3749.929477708747,6.88e-06,Stable
6.0,7363.636363636364,-7090.025467582327,-1560.125402820002,6.88e-06,Stable
6.0,7505.050505050505,-6500.968314757645,-6199.207957681278,6.88e-06,Stable
6.0,7646.464646464647,-6742.4443917375065,-10636.465939438182,6.88e-06,Stable
6.0,7787.878787878788,-7927.842570411274,-15239.607251922323,6.88e-06,Stable
6.0,7929.29292929293,-10670.63771245267,-20279.014138903443,6.88e-06,Stable
6.0,8070.707070707072,-16563.647970333695,-25505.521825555265,6.88e-06,Stable
6.0,8212.121212121212,-28498.97114493145,-27687.956498101972,6.88e-06,Stable
6.0,8353.535353535353,-42536.54557000723,-15981.764000288249,6.88e-06,Stable
6.0,8494.949494949495,-37457.415181091135,3115.743388418443,6.88e-06,Stable
6.0,8636.363636363636,-23964.675477591736,7206.098213897225,6.88e-06,Stable
6.0,8777.777777777777,-15813.01598736783,3901.4101750260015,6.88e-06,Stable
6.0,8919.191919191919,-11759.06630414681,-483.1642245107996,6.88e-06,Stable
6.0,9060.60606060606,-9857.150451743844,-4668.019801145161,6.88e-06,Stable
6.0,9202.020202020203,-9227.243075934966,-8592.724287829209,6.88e-06,Stable
6.0,9343.434343434345,-9595.204649775016,-12388.56957000605,6.88e-06,Stable
6.0,9484.848484848486,-11064.88910942038,-16139.719221676296,6.88e-06,Stable
6.0,9626.262626262627,-14094.143911337089,-19685.16559854141,6.88e-06,Stable
6.0,9767.676767676769,-19417.65133105755,-22099.1719736466,6.88e-06,Stable
6.0,9909.09090909091,-26898.306648265854,-20770.74384841745,6.88e-06,Stable
6.0,10050.505050505051,-32098.662313040193,-13191.759249604549,6.88e-06,Stable
6.0,10191.919191919193,-29456.76702262378,-4478.528946696463,6.88e-06,Stable
6.0,10333.333333333334,-22867.32946141244,-1228.130029469863,6.88e-06,Stable
6.0,10474.747474747475,-17486.653308967594,-2217.6137159153823,6.88e-06,Stable
6.0,10616.161616161617,-14185.53244508661,-4811.4557952719115,6.88e-06,Stable
6.0,10757.575757575758,-12468.22046536965,-7821.360797844976,6.88e-06,Stable
6.0,10898.9898989899,-11910.276918429367,-10867.343480255046,6.88e-06,Stable
6.0,11040.40404040404,-12340.566432138992,-13818.199259721187,6.88e-06,Stable
6.0,11181.818181818182,-13792.920144280068,-16525.580801904114,6.88e-06,Stable
6.0,11323.232323232323,-16407.142314305867,-18622.510097328523,6.88e-06,Stable
6.0,11464.646464646465,-20136.196545344766,-19319.931819958605,6.88e-06,Stable
6.0,11606.060606060608,-24049.04866192858,-17572.79473738586,6.88e-06,Stable
6.0,11747.47474747475,-25997.790593202015,-13451.68947695003,6.88e-06,Stable
6.0,11888.88888888889,-24670.230086677206,-9288.582832603523,6.88e-06,Stable
6.0,12030.303030303032,-21435.882202881516,-7273.126289631303,6.88e-06,Stable
6.0,12171.717171717173,-18248.72676006388,-7430.421258463699,6.88e-06,Stable
6.0,12313.131313131315,-15953.816407772287,-8856.118588443933,6.88e-06,Stable
6.0,12454.545454545456,-14646.566344167784,-10840.501834788516,6.88e-06,Stable
6.0,12595.959595959597,-14228.753640704193,-12987.948486195699,6.88e-06,Stable
6.0,12737.373737373739,-14620.392536618474,-15054.733758748902,6.88e-06,Stable
6.0,12878.78787878788,-15778.77303432616,-16803.400930846274,6.88e-06,Stable
6.0,13020.202020202021,-17615.849308475226,-17910.110158901178,6.88e-06,Stable
6.0,13161.616161616163,-19826.42149611088,-17977.37486988416,6.88e-06,Stable
6.0,13303.030303030304,-21734.54168439854,-16782.996838703042,6.88e-06,Stable
6.0,13444.444444444445,-22511.297166039516,-14706.868882935105,6.88e-06,Stable
6.0,13585.858585858587,-21853.905282950713,-12716.199030942966,6.88e-06,Stable
6.0,13727.272727272728,-20267.29570982335,-11626.569008157298,6.88e-06,Stable
6.0,13868.68686868687,-18517.320696766365,-11601.464495202978,6.88e-06,Stable
6.0,14010.10101010101,-17111.927840077875,-12371.798782534923,6.88e-06,Stable
6.0,14151.515151515152,-16254.096583498307,-13590.448083750533,6.88e-06,Stable
6.0,14292.929292929293,-15981.433713280061,-14972.647939493709,6.88e-06,Stable
6.0,14434.343434343435,-16264.726570621071,-16291.662418420849,6.88e-06,Stable
6.0,14575.757575757576,-17030.98284916978,-17341.32205767606,6.88e-06,Stable
6.0,14717.17171717172,-18134.7135746587,-17923.37362871316,6.88e-06,Stable
6.0,14858.58585858586,-19317.523019934066,-17893.83969538628,6.88e-06,Stable
6.0,15000.0,-20227.44635905367,-17269.238739496355,6.88e-06,Stable
6.0,1000.0,-166.16813836519876,-6766.450662549136,1.032e-05,Stable
6.0,1141.4141414141413,-257.7382410063539,-12913.907791988293,1.032e-05,Stable
6.0,1282.828282828283,-513.9539677106505,-21567.96276743631,1.032e-05,Stable
6.0,1424.2424242424242,-1474.2996727156994,-37415.417371736585,1.032e-05,Stable
6.0,1565.6565656565658,-9377.228099231883,-87756.57024142299,1.032e-05,Stable
6.0,1707.0707070707072,-133998.61041691774,259349.01362096396,1.032e-05,Stable
6.0,1848.4848484848485,-6586.048796252516,53023.48901885644,1.032e-05,Stable
6.0,1989.8989898989898,-2587.251800338001,25683.785217124503,1.032e-05,Stable
6.0,2131.3131313131316,-1609.238872635154,13999.491785956216,1.032e-05,Stable
6.0,2272.727272727273,-1247.007807190921,6728.901944167411,1.032e-05,Stable
6.0,2414.1414141414143,-1121.8357952993658,1123.234480764892,1.032e-05,Stable
6.0,2555.5555555555557,-1152.3958364480638,-3938.346982644234,1.032e-05,Stable
6.0,2696.969696969697,-1366.00793414052,-9192.015866420614,1.032e-05,Stable
6.0,2838.3838383838383,-1925.9842908224998,-15490.190496780022,1.032e-05,Stable
6.0,2979.7979797979797,-3418.0672965498056,-24475.25157315093,1.032e-05,Stable
6.0,3121.2121212121215,-8662.937926078952,-40863.53383187254,1.032e-05,Stable
6.0,3262.626262626263,-46119.61983631311,-81830.10910243365,1.032e-05,Stable
6.0,3404.040404040404,-101159.2048937398,75112.89365896604,1.032e-05,Stable
6.0,3545.4545454545455,-17436.570404084167,40436.38620737632,1.032e-05,Stable
6.0,3686.8686868686873,-7371.038229651608,20771.060822286337,1.032e-05,Stable
6.0,3828.2828282828286,-4568.999595313467,10712.454492404424,1.032e-05,Stable
6.0,3969.69696969697,-3499.773690215314,4016.891032038745,1.032e-05,Stable
6.0,4111.111111111111,-3121.4448250885393,-1330.0855482564239,1.032e-05,Stable
6.0,4252.525252525253,-3186.7046525649976,-6254.298994238929,1.032e-05,Stable
6.0,4393.939393939394,-3744.357659406449,-11403.511101918579,1.032e-05,Stable
6.0,4535.353535353535,-5179.693886386356,-17510.53305022382,1.032e-05,Stable
6.0,4676.767676767677,-8810.37422069728,-25751.420267043402,1.032e-05,Stable
6.0,4818.181818181818,-19846.66446214183,-37692.43802337154,1.032e-05,Stable
6.0,4959.595959595959,-57900.192761214625,-39886.40025550862,1.032e-05,Stable
6.0,5101.010101010102,-61796.667351192205,21474.948329541403,1.032e-05,Stable
6.0,5242.424242424243,-24816.267248404973,24250.914899651325,1.032e-05,Stable
6.0,5383.838383838384,-12732.363729706856,14205.320127054347,1.032e-05,Stable
6.0,5525.252525252526,-8394.730265417245,6710.365024841992,1.032e-05,Stable
6.0,5666.666666666667,-6599.625095323199,1002.6435486269229,1.032e-05,Stable
6.0,5808.080808080808,-5960.271434654523,-3832.387756531837,1.032e-05,Stable
6.0,5949.49494949495,-6104.713725851825,-8374.239774521517,1.032e-05,Stable
6.0,6090.909090909091,-7104.2557145185265,-13049.782500894604,1.032e-05,Stable
6.0,6232.323232323232,-9496.23354173165,-18210.440799080512,1.032e-05,Stable
6.0,6373.737373737375,-14757.531585661562,-23865.863618488023,1.032e-05,Stable
6.0,6515.151515151516,-26080.101828358413,-27645.65951418382,1.032e-05,Stable
6.0,6656.565656565657,-42482.318263962916,-18477.474631346817,1.032e-05,Stable
6.0,6797.979797979799,-40573.00731233937,3223.5902720469367,1.032e-05,Stable
6.0,6939.39393939394,-25909.5738751065,9472.453241284788,1.032e-05,Stable
6.0,7080.808080808081,-16718.07380370177,6387.102344742978,1.032e-05,Stable
6.0,7222.222222222223,-12195.732548301765,1893.2282150279625,1.032e-05,Stable
6.0,7363.636363636364,-10063.141513664073,-2385.1395112556047,1.032e-05,Stable
6.0,7505.050505050505,-9285.066305305389,-6353.760357376223,1.032e-05,Stable
6.0,7646.464646464647,-9515.989455034844,-10149.672343560303,1.032e-05,Stable
6.0,7787.878787878788,-10804.303574457113,-13868.706764066157,1.032e-05,Stable
6.0,7929.29292929293,-13531.250316740228,-17389.487309559052,1.032e-05,Stable
6.0,8070.707070707072,-18335.882017593223,-19948.005311108936,1.032e-05,Stable
6.0,8212.121212121212,-25230.92673879446,-19366.516896953504,1.032e-05,Stable
6.0,8353.535353535353,-30795.19044559987,-13163.781659926486,1.032e-05,Stable
6.0,8494.949494949495,-29638.2388050347,-4808.464324369617,1.032e-05,Stable
6.0,8636.363636363636,-23899.75006544712,-777.249320363454,1.032e-05,Stable
6.0,8777.777777777777,-18599.212836395345,-1045.4551146295398,1.032e-05,Stable
6.0,8919.191919191919,-15145.66683569842,-3212.5052729641693,1.032e-05,Stable
6.0,9060.60606060606,-13254.091634645032,-5962.95196089114,1.032e-05,Stable
6.0,9202.020202020203,-12530.808578503646,-8813.579564960775,1.032e-05,Stable
6.0,9343.434343434345,-12778.337608534715,-11578.76909283792,1.032e-05,Stable
6.0,9484.848484848486,-13972.858487466938,-14094.291852216826,1.032e-05,Stable
6.0,9626.262626262627,-16167.081084648875,-16041.76535004947,1.032e-05,Stable
6.0,9767.676767676769,-19256.29983805478,-16819.986897826686,1.032e-05,Stable
6.0,9909.09090909091,-22522.683343010864,-15698.02341156915,1.032e-05,Stable
6.0,10050.505050505051,-24454.53806550623,-12682.694429900657,1.032e-05,Stable
6.0,10191.919191919193,-23954.596914987877,-9282.535382912372,1.032e-05,Stable
6.0,10333.333333333334,-21677.276087739447,-7231.740709441145,1.032e-05,Stable
6.0,10474.747474747475,-19059.87772711484,-6924.821926492861,1.032e-05,Stable
6.0,10616.161616161617,-16975.823882142766,-7835.380649096645,1.032e-05,Stable
6.0,10757.575757575758,-15673.494855596855,-9373.746215165675,1.032e-05,Stable
6.0,10898.9898989899,-15141.763297701551,-11142.513366878087,1.032e-05,Stable
6.0,11040.40404040404,-15317.286189535605,-12878.991213990877,1.032e-05,Stable
6.0,11181.818181818182,-16130.918766717208,-14357.887999481967,1.032e-05,Stable
6.0,11323.232323232323,-17465.155846062175,-15332.713805299447,1.032e-05,Stable
6.0,11464.646464646465,-19065.142577737995,-15555.68786505575,1.032e-05,Stable
6.0,11606.060606060608,-20485.290286890675,-14918.575370805367,1.032e-05,Stable
6.0,11747.47474747475,-21222.472971380274,-13648.512369981481,1.032e-05,Stable
6.0,11888.88888888889,-21040.94865828463,-12295.923212841451,1.032e-05,Stable
6.0,12030.303030303032,-20145.189823278077,-11399.49091537003,1.032e-05,Stable
6.0,12171.717171717173,-18977.04604109428,-11183.352976329483,1.032e-05,Stable
6.0,12313.131313131315,-17920.81369372456,-11571.213058620056,1.032e-05,Stable
6.0,12454.545454545456,-17191.94362942194,-12357.805683996008,1.032e-05,Stable
6.0,12595.959595959597,-16869.124107522628,-13328.600036849939,1.032e-05,Stable
6.0,12737.373737373739,-16949.05808166651,-14296.454919599426,1.032e-05,Stable
6.0,12878.78787878788,-17373.6896431725,-15101.514129658643,1.032e-05,Stable
6.0,13020.202020202021,-18031.888857931033,-15613.773823406067,1.032e-05,Stable
6.0,13161.616161616163,-18757.842016422725,-15756.754172549898,1.032e-05,Stable
6.0,13303.030303030304,-19355.097616630243,-15546.22499016971,1.032e-05,Stable
6.0,13444.444444444445,-19659.874460771414,-15109.044093062841,1.032e-05,Stable
6.0,13585.858585858587,-19612.718619506686,-14643.829933058127,1.032e-05,Stable
6.0,13727.272727272728,-19279.59260481646,-14334.949750604117,1.032e-05,Stable
6.0,13868.68686868687,-18804.493704383854,-14282.285678987313,1.032e-05,Stable
6.0,14010.10101010101,-18338.241185895844,-14488.947594052914,1.032e-05,Stable
6.0,14151.515151515152,-17991.7219236923,-14891.660131131617,1.032e-05,Stable
6.0,14292.929292929293,-17822.746270198026,-15398.17849409697,1.032e-05,Stable
6.0,14434.343434343435,-17841.06212089111,-15913.480852658733,1.032e-05,Stable
6.0,14575.757575757576,-18017.449500839386,-16355.356136084572,1.032e-05,Stable
6.0,14717.17171717172,-18292.835555594393,-16665.767032917563,1.032e-05,Stable
6.0,14858.58585858586,-18590.15994353593,-16821.026930869,1.032e-05,Stable
6.0,15000.0,-18832.108889127438,-16837.77246764646,1.032e-05,Stable
6.0,1000.0,-221.5407219071612,-6765.657630278451,1.376e-05,Stable
6.0,1141.4141414141413,-343.5745328901186,-12911.277166245565,1.376e-05,Stable
6.0,1282.828282828283,-684.8432910923076,-21557.844395999928,1.376e-05,Stable
6.0,1424.2424242424242,-1961.8218895354669,-37359.70689375434,1.376e-05,Stable
6.0,1565.6565656565658,-12354.749450553736,-86874.05736280709,1.376e-05,Stable
6.0,1707.0707070707072,-155670.6585297065,223756.6077955479,1.376e-05,Stable
6.0,1848.4848484848485,-8729.612202066946,52586.62229325308,1.376e-05,Stable
6.0,1989.8989898989898,-3443.290862235271,25591.3823592203,1.376e-05,Stable
6.0,2131.3131313131316,-2143.6607144156033,13963.628880962893,1.376e-05,Stable
6.0,2272.727272727273,-1661.5796279559925,6712.940754893544,1.376e-05,Stable
6.0,2414.1414141414143,-1494.6830334785714,1119.5562859873667,1.376e-05,Stable
6.0,2555.5555555555557,-1534.6450436528921,-3928.2756427627564,1.376e-05,Stable
6.0,2696.969696969697,-1816.7929832279497,-9157.00073128576,1.376e-05,Stable
6.0,2838.3838383838383,-2553.8297263549075,-15393.001445469323,1.376e-05,Stable
6.0,2979.7979797979797,-4497.484128125467,-24170.829379234165,1.376e-05,Stable
6.0,3121.2121212121215,-11111.719105513732,-39496.91832738108,1.376e-05,Stable
6.0,3262.626262626263,-50544.9864436344,-68761.28648656856,1.376e-05,Stable
6.0,3404.040404040404,-93489.55689147272,48400.98557361183,1.376e-05,Stable
